Complexity,Loss,Equation
1,1.0042076,"0.0006342208"
3,0.6951701,"x0 ^ -15.334323"
5,0.0060962746,"(x4 * -2.5082126) + -2.954015"
7,0.0040476066,"(x0 * -2.3586016) + (x4 * -2.1773076)"
9,0.0014353405,"((x5 * -0.3903353) + -3.1457505) + (x4 * -2.2799752)"
11,0.00065418513,"(((x0 + x4) * -2.024127) + -0.5849225) + (x5 * -0.3405676)"
13,0.0005766901,"((x4 + x0) * -2.0053344) + ((x0 * (x5 + 1.7062883)) * -0.30944976)"
15,0.00044596964,"((x0 ^ x2) * ((x5 * -0.32570302) + -0.56507504)) + ((x0 + x4) * -2.0261703)"
17,0.00041232287,"(((x0 + -0.056598492) ^ x2) * ((x5 * -0.33308816) + -0.57508886)) + ((x4 + x0) * -2.0236254)"
19,0.00030457188,"((x0 + x4) * -2.0220764) + ((((x0 * x0) + -0.19358404) ^ x2) * ((x5 * -0.32768294) + -0.5684678))"
21,0.00023584304,"(((x2 * ((x2 * (x4 + x0)) * -0.17491575)) + -0.34482023) * (x5 + 1.6936523)) + ((x0 + x4) * -1.9916241)"
23,0.00014265033,"((x4 + x0) * -2.0165715) + (((((x4 + x0) * -0.1790196) * ((x2 * x2) * x2)) + -0.32963765) * (x5 + 1.7312171))"
25,0.000112800764,"((x5 + 1.7172452) * ((x2 * (x3 * ((x4 + x0) * ((x2 + 0.5825484) * -0.13215923)))) + -0.3345594)) + ((x4 + x0) * -2.0044084)"
27,9.930745e-5,"((x0 + x4) * -2.0073876) + ((((((x2 * (x0 + x4)) * x2) * -0.106282644) * (x2 + (x2 * x2))) + -0.33412808) * (x5 + 1.7192067))"
29,9.836433e-5,"((x4 + x0) * -2.0074413) + ((((x2 * (x3 + (x2 * x3))) * ((x2 * ((x0 ^ 1.2184705) + x4)) * -0.10475594)) + -0.3339635) * (x5 + 1.7187903))"
31,9.617308e-5,"((x4 + x0) * -2.0097232) + ((x5 + 1.7226869) * (((((x0 + x3) * (((x0 + x4) * ((x2 * x2) + -0.13155058)) * x2)) + 1.6138352) * -0.11401249) + -0.14856772))"
33,9.601456e-5,"((x4 + x0) * -2.0093145) + ((((((x0 + x4) * ((((x2 * x2) + -0.13083427) * (x3 + (x1 * x0))) * x2)) + 1.6141557) * -0.112620376) + -0.1513923) * (x5 + 1.7217662))"
35,9.556625e-5,"((((x0 + (x3 * ((x0 + x4) * ((x2 * ((4.3406544 ^ (x3 + 0.75137186)) + (x4 + -2.05688))) + -0.5178195)))) * -0.023299426) + -0.30786914) * (x5 + 1.7195121)) + ((x0 + x4) * -2.007066)"
37,9.470127e-5,"((x5 + 1.7183297) * (((x0 + (((x0 ^ 1.2309142) + x4) * (x3 * ((((x4 + (4.341341 ^ (x3 + 0.75596476))) + -1.9704531) * x3) + -0.5670398)))) * -0.022677578) + -0.308787)) + ((x4 + x0) * -2.0068083)"
39,9.425877e-5,"((x4 + x0) * -2.0064564) + ((x5 + 1.7186899) * ((((x0 ^ x0) + ((x3 * (x4 + (x0 ^ 1.2309878))) * ((x3 * (x4 + ((4.3412666 ^ (x3 + 0.75552726)) + -1.9705393))) + -0.56709933))) * -0.022684926) + -0.3080779))"
41,9.3318005e-5,"((x5 + 1.7217387) * ((((x0 ^ (x5 + 1.7202944)) + ((x3 * ((((x4 + (4.341416 ^ (x3 + 0.7560078))) + -1.9704345) * x3) + -0.5671674)) * (x4 + (x0 ^ 1.2307794)))) * -0.022402465) + -0.3077836)) + ((x4 + x0) * -2.0069225)"
43,9.328828e-5,"(((x5 + 1.722398) * ((((x0 ^ (x5 + 1.7548612)) + ((x4 + (x0 ^ 1.2308387)) * (((((x4 + -1.9700444) + (4.3432083 ^ (x3 + 0.7625557))) * x3) + -0.5668588) * x3))) * -0.016544227) + -0.23067743)) + ((x0 + x4) * -1.5057003)) * 1.3332553"
45,9.293714e-5,"(((x0 + x4) * -1.5056267) + ((((((x0 ^ x0) ^ (x5 + 1.7238172)) + (((x3 * ((4.3423543 ^ (x3 + 0.7573472)) + (x4 + -1.9717895))) + -0.567171) * (x3 * (x4 + (x0 ^ 1.2339153))))) * -0.016588299) + -0.23042044) * (x5 + 1.7223574))) * 1.3331375"
47,9.292139e-5,"1.333217 * (((((((x0 ^ x0) ^ (x5 + 1.7234765)) + ((x3 * (x4 + (x0 ^ 1.2306303))) * ((x3 * ((x4 + (4.343697 ^ (x3 + 0.76373))) + (-2.197897 + 0.11550482))) + -0.566947))) * -0.016364181) + -0.23028667) * (x5 + 1.7233559)) + ((x0 + x4) * -1.5057255))"
